Country/Region,Date,Confirmed,Deaths,Recovered
Australia,22-1-20,0,0,0
Canada,22-1-20,0,0,0
China,22-1-20,548,17,28
Denmark,22-1-20,0,0,0
France,22-1-20,0,0,0
Netherlands,22-1-20,0,0,0
United Kingdom,22-1-20,0,0,0
Afghanistan,22-1-20,0,0,0
Albania,22-1-20,0,0,0
Algeria,22-1-20,0,0,0
Andorra,22-1-20,0,0,0
Angola,22-1-20,0,0,0
Antigua and Barbuda,22-1-20,0,0,0
Argentina,22-1-20,0,0,0
Armenia,22-1-20,0,0,0
Austria,22-1-20,0,0,0
Azerbaijan,22-1-20,0,0,0
Bahamas,22-1-20,0,0,0
Bahrain,22-1-20,0,0,0
Bangladesh,22-1-20,0,0,0
Barbados,22-1-20,0,0,0
Belarus,22-1-20,0,0,0
Belgium,22-1-20,0,0,0
Benin,22-1-20,0,0,0
Bhutan,22-1-20,0,0,0
Bolivia,22-1-20,0,0,0
Bosnia and Herzegovina,22-1-20,0,0,0
Brazil,22-1-20,0,0,0
Brunei,22-1-20,0,0,0
Bulgaria,22-1-20,0,0,0
Burkina Faso,22-1-20,0,0,0
Cabo Verde,22-1-20,0,0,0
Cambodia,22-1-20,0,0,0
Cameroon,22-1-20,0,0,0
Central African Republic,22-1-20,0,0,0
Chad,22-1-20,0,0,0
Chile,22-1-20,0,0,0
Colombia,22-1-20,0,0,0
Congo (Brazzaville),22-1-20,0,0,0
Congo (Kinshasa),22-1-20,0,0,0
Costa Rica,22-1-20,0,0,0
Cote d'Ivoire,22-1-20,0,0,0
Croatia,22-1-20,0,0,0
Diamond Princess,22-1-20,0,0,0
Cuba,22-1-20,0,0,0
Cyprus,22-1-20,0,0,0
Czechia,22-1-20,0,0,0
Djibouti,22-1-20,0,0,0
Dominican Republic,22-1-20,0,0,0
Ecuador,22-1-20,0,0,0
Egypt,22-1-20,0,0,0
El Salvador,22-1-20,0,0,0
Equatorial Guinea,22-1-20,0,0,0
Eritrea,22-1-20,0,0,0
Estonia,22-1-20,0,0,0
Eswatini,22-1-20,0,0,0
Ethiopia,22-1-20,0,0,0
Fiji,22-1-20,0,0,0
Finland,22-1-20,0,0,0
Gabon,22-1-20,0,0,0
Gambia,22-1-20,0,0,0
Georgia,22-1-20,0,0,0
Germany,22-1-20,0,0,0
Ghana,22-1-20,0,0,0
